Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
9.94,78.49,3,3,Редко,8.08,60.75,3,Да,0,Средний,2,Обычная,Нейтральное,Умеренная,Нет,Среднее специальное,0.15,Женский,93.64
16.57,80.16,2,4,Часто,8.79,70.23,4,Да,2,Средний,4,Обычная,Положительное,Умеренная,Нет,Высшее,0.67,Мужской,100.0
10.46,81.8,2,4,Редко,6.44,81.41,2,Да,3,Низкий,3,Обычная,Нейтральное,Высокая,Нет,Среднее,2.21,Женский,99.81
7.94,89.24,2,4,Редко,7.92,76.09,4,Да,2,Средний,1,Частная,Положительное,Умеренная,Нет,Среднее,0.74,Женский,100.0
22.33,90.23,4,4,Нет,7.35,64.78,3,Да,1,Низкий,3,Обычная,Положительное,Низкая,Нет,Среднее специальное,0.1,Мужской,100.0
13.87,79.26,5,5,Часто,8.52,75.08,1,Нет,2,Средний,3,Обычная,Положительное,Умеренная,Нет,Среднее,3.57,Мужской,100.0
15.34,84.76,3,3,Иногда,7.36,56.62,2,Да,2,Средний,3,Частная,Отрицательное,Низкая,Нет,Среднее специальное,0.74,Женский,100.0
7.88,100.0,5,4,Иногда,7.04,88.8,5,Да,1,Средний,4,Обычная,Нейтральное,Высокая,Нет,Среднее,0.13,Женский,100.0
12.28,100.0,3,5,Редко,8.15,72.54,5,Да,1,Высокий,3,Частная,Нейтральное,Высокая,Нет,Среднее специальное,0.16,Мужской,100.0
15.55,89.36,3,5,Иногда,8.55,88.42,2,Нет,4,Высокий,3,Частная,Нейтральное,Умеренная,Нет,Среднее,0.58,Женский,100.0
9.25,85.38,2,5,Иногда,6.7,68.68,4,Да,2,Низкий,2,Частная,Нейтральное,Умеренная,Нет,Среднее,0.39,Женский,100.0
16.88,86.2,3,3,Редко,7.43,68.72,4,Да,4,Высокий,4,Частная,Положительное,Высокая,Нет,Высшее,2.98,Мужской,100.0
12.0,91.14,5,2,Редко,6.23,65.83,5,Да,1,Низкий,3,Обычная,Отрицательное,Умеренная,Нет,Высшее,0.78,Мужской,100.0
13.54,74.77,3,3,Редко,4.5,85.51,3,Да,1,Высокий,3,Обычная,Нейтральное,Умеренная,Нет,Высшее,3.27,Женский,100.0
11.99,82.43,3,4,Часто,7.74,66.49,4,Да,3,Низкий,4,Обычная,Отрицательное,Высокая,Нет,Высшее,0.38,Мужской,100.0
24.26,68.31,3,3,Иногда,8.23,82.74,1,Да,2,Средний,3,Обычная,Положительное,Умеренная,Нет,Среднее специальное,1.36,Мужской,100.0
14.93,88.99,2,3,Часто,7.81,70.41,3,Да,1,Низкий,3,Обычная,Положительное,Умеренная,Нет,Среднее специальное,2.33,Женский,100.0
9.71,91.47,4,5,Редко,5.16,51.29,5,Да,1,Низкий,3,Обычная,Нейтральное,Высокая,Да,Среднее,2.11,Женский,95.11
19.11,80.17,3,3,Иногда,7.08,68.16,4,Да,1,Средний,4,Обычная,Отрицательное,Умеренная,Нет,Среднее,1.84,Женский,100.0
8.9,100.0,3,5,Иногда,4.84,60.85,3,Да,1,Высокий,4,Обычная,Положительное,Умеренная,Нет,Среднее,5.18,Мужской,100.0
16.04,72.74,3,3,Иногда,9.14,75.41,2,Да,0,Средний,3,Обычная,Нейтральное,Низкая,Нет,Высшее,0.52,Женский,100.0
5.2,70.36,3,3,Часто,6.2,60.72,4,Да,3,Средний,2,Обычная,Нейтральное,Умеренная,Нет,Среднее,1.36,Женский,100.0
8.36,87.24,1,3,Редко,9.01,86.11,4,Нет,4,Средний,2,Частная,Положительное,Низкая,Нет,Высшее,4.31,Мужской,100.0
15.98,95.47,3,4,Нет,8.64,73.91,3,Да,1,Низкий,4,Обычная,Положительное,Умеренная,Нет,Среднее специальное,0.16,Женский,100.0
18.69,100.0,2,2,Иногда,6.42,72.87,5,Да,3,Низкий,4,Обычная,Нейтральное,Умеренная,Нет,Высшее,0.12,Женский,100.0
15.86,80.41,4,2,Иногда,6.14,82.87,1,Да,0,Низкий,3,Обычная,Нейтральное,Высокая,Нет,Среднее,0.53,Женский,100.0
14.42,95.79,4,5,Иногда,7.92,86.57,3,Да,3,Средний,2,Частная,Нейтральное,Умеренная,Нет,Среднее,2.0,Женский,100.0
13.49,84.61,4,2,Редко,6.49,74.76,5,Да,1,Низкий,4,Обычная,Нейтральное,Умеренная,Нет,Высшее,0.6,Мужской,100.0
7.61,83.27,3,4,Иногда,7.62,65.75,3,Да,2,Низкий,4,Обычная,Нейтральное,Умеренная,Нет,Среднее,0.42,Женский,96.03
11.4,93.84,3,4,Редко,6.92,53.71,3,Да,3,Низкий,4,Частная,Нейтральное,Высокая,Нет,Среднее,1.23,Женский,100.0
12.7,91.52,2,3,Редко,5.36,66.77,4,Да,2,Низкий,4,Обычная,Отрицательное,Умеренная,Да,Среднее,1.9,Женский,86.87
20.29,69.24,4,4,Иногда,4.82,67.59,5,Да,1,Высокий,4,Частная,Нейтральное,Умеренная,Нет,Среднее,0.57,Женский,100.0
16.72,99.77,2,3,Иногда,7.77,76.28,2,Да,1,Низкий,1,Обычная,Отрицательное,Низкая,Нет,Среднее,0.72,Мужской,90.49
6.18,98.8,3,4,Редко,6.83,70.86,5,Да,2,Средний,2,Обычная,Нейтральное,Умеренная,Нет,Среднее специальное,1.9,Мужской,100.0
16.62,78.74,2,3,Редко,6.84,83.26,4,Да,1,Средний,2,Обычная,Нейтральное,Умеренная,Нет,Среднее специальное,5.83,Мужской,95.78
13.07,88.96,2,4,Редко,8.34,67.64,2,Да,2,Средний,4,Обычная,Нейтральное,Умеренная,Нет,Среднее специальное,2.25,Женский,100.0
11.62,89.94,3,2,Нет,8.91,74.32,4,Нет,2,Низкий,2,Обычная,Нейтральное,Высокая,Нет,Среднее,3.05,Мужской,100.0
18.06,87.61,1,4,Иногда,7.17,89.21,3,Да,3,Средний,3,Частная,Нейтральное,Высокая,Нет,Высшее,0.91,Женский,100.0
20.15,79.5,4,2,Часто,7.09,79.1,3,Да,5,Низкий,3,Частная,Положительное,Высокая,Нет,Высшее,0.64,Мужской,100.0
19.66,78.28,3,3,Редко,8.1,74.28,4,Да,2,Средний,3,Частная,Нейтральное,Умеренная,Нет,Среднее,1.21,Мужской,100.0
10.8,84.74,1,3,Иногда,5.87,67.78,5,Нет,2,Низкий,4,Частная,Положительное,Высокая,Нет,Среднее,3.29,Мужской,100.0
13.45,96.73,3,2,Часто,7.77,67.4,2,Да,1,Средний,2,Обычная,Нейтральное,Высокая,Нет,Среднее,1.22,Женский,100.0
16.66,90.44,1,5,Часто,8.16,64.79,3,Да,4,Средний,3,Обычная,Нейтральное,Низкая,Нет,Высшее,3.75,Женский,100.0
19.88,81.29,2,3,Нет,8.32,68.51,3,Да,2,Средний,4,Частная,Отрицательное,Умеренная,Нет,Высшее,8.98,Женский,100.0
12.6,92.72,4,5,Часто,5.18,84.07,3,Нет,2,Средний,1,Частная,Нейтральное,Низкая,Нет,Высшее,0.15,Женский,100.0
14.07,56.51,1,5,Редко,6.59,72.34,3,Да,0,Средний,4,Обычная,Положительное,Низкая,Нет,Среднее,0.1,Мужской,97.73
9.47,96.49,4,4,Редко,6.45,58.8,1,Да,1,Высокий,4,Обычная,Положительное,Низкая,Да,Среднее специальное,0.32,Мужской,93.45
9.02,67.6,1,2,Нет,7.62,95.0,4,Да,1,Низкий,5,Обычная,Положительное,Низкая,Нет,Среднее,0.97,Женский,100.0
19.06,81.38,2,3,Редко,8.08,78.84,3,Да,1,Средний,4,Обычная,Нейтральное,Умеренная,Нет,Среднее,0.28,Женский,100.0
21.78,73.8,4,4,Нет,9.3,58.12,2,Да,2,Средний,3,Обычная,Нейтральное,Умеренная,Нет,Среднее специальное,4.09,Мужской,100.0
14.64,72.05,3,3,Редко,6.91,69.7,5,Да,3,Средний,3,Частная,Нейтральное,Умеренная,Нет,Среднее,0.1,Женский,100.0
20.02,96.61,2,2,Редко,6.9,76.33,5,Да,3,Низкий,2,Обычная,Нейтральное,Умеренная,Нет,Высшее,0.76,Мужской,100.0
16.81,80.32,3,4,Часто,8.88,95.0,3,Да,4,Средний,3,Частная,Отрицательное,Высокая,Нет,Среднее специальное,0.41,Мужской,100.0
11.77,88.47,2,5,Часто,7.86,61.7,3,Да,3,Низкий,2,Частная,Положительное,Высокая,Нет,Высшее,5.36,Мужской,100.0
16.81,84.53,4,4,Редко,9.02,86.71,4,Да,1,Низкий,3,Частная,Положительное,Умеренная,Нет,Среднее,2.21,Женский,100.0
22.69,89.77,3,2,Часто,7.85,91.79,3,Да,3,Низкий,4,Обычная,Нейтральное,Умеренная,Да,Высшее,4.86,Мужской,100.0
14.82,85.77,4,4,Часто,6.11,67.46,2,Да,1,Низкий,3,Обычная,Нейтральное,Умеренная,Нет,Высшее,7.17,Мужской,100.0
22.82,72.17,4,3,Иногда,5.9,71.67,4,Да,2,Средний,3,Частная,Отрицательное,Низкая,Нет,Высшее,1.37,Мужской,100.0
5.0,94.96,3,3,Нет,5.64,62.56,1,Да,0,Высокий,3,Обычная,Нейтральное,Низкая,Нет,Высшее,0.53,Мужской,99.8
19.11,80.06,5,5,Иногда,8.29,72.56,1,Да,1,Низкий,3,Обычная,Нейтральное,Умеренная,Да,Высшее,0.43,Женский,94.87
15.44,69.43,3,3,Часто,8.93,74.56,1,Да,1,Высокий,5,Обычная,Положительное,Высокая,Нет,Среднее специальное,0.5,Мужской,100.0
13.5,80.72,5,3,Иногда,9.72,82.92,2,Да,4,Высокий,3,Частная,Нейтральное,Низкая,Нет,Среднее,2.47,Мужской,100.0
15.46,100.0,1,1,Редко,8.51,88.08,1,Да,1,Высокий,4,Обычная,Нейтральное,Низкая,Нет,Среднее специальное,0.1,Женский,100.0
5.06,93.5,3,5,Иногда,8.9,66.02,5,Да,2,Высокий,3,Обычная,Нейтральное,Низкая,Нет,Высшее,0.11,Мужской,100.0
13.9,81.51,3,4,Иногда,6.8,51.39,3,Да,2,Средний,2,Частная,Отрицательное,Умеренная,Нет,Высшее,1.87,Мужской,100.0
16.79,81.51,3,4,Иногда,6.11,74.75,2,Да,1,Низкий,3,Частная,Положительное,Умеренная,Нет,Среднее специальное,2.05,Мужской,100.0
22.39,81.78,3,4,Нет,8.52,78.52,2,Да,3,Средний,4,Частная,Нейтральное,Умеренная,Нет,Среднее,2.19,Женский,100.0
12.41,100.0,4,2,Редко,8.0,77.99,5,Да,4,Средний,2,Частная,Положительное,Низкая,Нет,Среднее специальное,0.93,Женский,100.0
10.96,88.82,1,3,Часто,7.63,71.08,4,Нет,0,Высокий,2,Обычная,Нейтральное,Умеренная,Нет,Высшее,3.28,Мужской,94.63
12.49,89.3,2,3,Часто,7.96,76.5,3,Да,2,Высокий,2,Обычная,Положительное,Низкая,Нет,Среднее,1.53,Женский,100.0
19.58,95.3,4,2,Нет,7.89,93.19,5,Нет,2,Средний,4,Обычная,Отрицательное,Умеренная,Нет,Среднее,0.22,Женский,100.0
16.64,87.39,3,3,Часто,9.04,79.58,3,Да,5,Средний,4,Частная,Нейтральное,Низкая,Нет,Среднее специальное,3.19,Женский,100.0
12.35,82.41,5,5,Редко,9.05,70.52,3,Нет,2,Низкий,3,Обычная,Положительное,Умеренная,Нет,Среднее,6.12,Мужской,100.0
17.57,83.04,4,1,Иногда,8.15,69.0,2,Да,2,Низкий,3,Обычная,Положительное,Умеренная,Нет,Среднее,0.12,Мужской,94.91
15.49,84.28,5,3,Иногда,8.51,72.96,3,Да,4,Средний,4,Обычная,Положительное,Умеренная,Нет,Среднее,0.99,Женский,100.0
19.84,84.63,4,3,Часто,8.12,94.64,3,Да,1,Средний,4,Обычная,Нейтральное,Умеренная,Нет,Высшее,1.34,Женский,100.0
11.49,92.28,2,3,Часто,6.95,72.8,4,Да,4,Высокий,4,Частная,Положительное,Умеренная,Нет,Среднее,0.32,Женский,100.0
13.36,85.52,2,5,Редко,8.41,74.76,3,Нет,3,Средний,4,Обычная,Положительное,Низкая,Да,Среднее специальное,4.05,Мужской,98.5
13.04,92.33,4,3,Часто,5.83,69.21,4,Да,6,Высокий,4,Обычная,Отрицательное,Умеренная,Нет,Высшее,0.67,Мужской,100.0
7.68,84.19,3,3,Нет,8.76,88.19,1,Да,0,Средний,3,Обычная,Положительное,Умеренная,Нет,Высшее,3.06,Женский,100.0
16.48,85.79,1,4,Иногда,6.07,95.0,2,Нет,3,Высокий,4,Обычная,Нейтральное,Умеренная,Нет,Высшее,2.22,Женский,100.0
16.31,65.02,3,2,Иногда,7.84,80.41,3,Да,1,Низкий,5,Частная,Нейтральное,Умеренная,Нет,Среднее специальное,1.82,Мужской,100.0
15.03,94.16,5,3,Иногда,6.49,75.99,5,Да,1,Высокий,1,Частная,Нейтральное,Высокая,Нет,Высшее,0.43,Мужской,100.0
13.83,88.46,3,3,Редко,8.16,75.44,3,Да,2,Средний,2,Обычная,Положительное,Умеренная,Нет,Среднее,0.5,Мужской,100.0
7.92,94.98,3,4,Часто,7.46,46.39,4,Нет,2,Низкий,5,Обычная,Отрицательное,Низкая,Нет,Высшее,0.1,Женский,100.0
12.9,56.04,3,5,Нет,5.59,83.94,3,Да,1,Низкий,3,Обычная,Нейтральное,Умеренная,Да,Среднее специальное,0.55,Женский,99.53
13.29,100.0,2,4,Нет,8.0,76.61,2,Да,2,Высокий,4,Частная,Нейтральное,Низкая,Нет,Среднее,0.85,Женский,100.0
10.99,83.6,3,3,Иногда,6.81,80.14,1,Да,3,Низкий,3,Обычная,Нейтральное,Умеренная,Нет,Среднее специальное,3.58,Женский,99.73
14.19,96.08,3,5,Редко,8.56,66.46,3,Да,2,Средний,2,Обычная,Нейтральное,Умеренная,Нет,Среднее,0.91,Мужской,100.0
17.02,74.6,1,2,Часто,7.5,70.39,2,Да,2,Средний,2,Обычная,Отрицательное,Низкая,Нет,Высшее,2.81,Женский,97.45
24.43,91.13,4,1,Редко,7.97,70.07,2,Нет,4,Средний,2,Частная,Положительное,Высокая,Да,Среднее,1.16,Женский,100.0
15.87,74.47,3,3,Нет,6.35,87.26,4,Нет,1,Высокий,3,Частная,Положительное,Умеренная,Да,Среднее специальное,3.07,Женский,100.0
16.29,78.76,4,3,Часто,6.79,70.45,1,Да,0,Средний,3,Обычная,Положительное,Умеренная,Нет,Среднее,7.48,Женский,99.14
14.63,100.0,4,4,Иногда,6.95,95.0,4,Да,3,Средний,4,Обычная,Положительное,Низкая,Нет,Среднее,0.55,Мужской,100.0
5.41,83.09,2,4,Нет,8.53,80.17,3,Да,2,Высокий,5,Обычная,Нейтральное,Умеренная,Нет,Высшее,3.97,Женский,100.0
14.87,87.17,3,5,Иногда,9.51,59.69,4,Да,5,Средний,3,Обычная,Нейтральное,Высокая,Нет,Высшее,1.94,Женский,100.0
15.3,93.7,3,4,Иногда,6.53,73.46,4,Да,3,Высокий,3,Обычная,Нейтральное,Умеренная,Нет,Высшее,3.4,Женский,100.0
27.32,89.96,4,4,Иногда,8.79,67.18,3,Нет,7,Средний,3,Частная,Отрицательное,Высокая,Нет,Среднее,2.11,Мужской,100.0
14.04,86.5,2,2,Редко,4.9,48.67,3,Да,1,Низкий,3,Частная,Положительное,Низкая,Нет,Среднее,1.1,Женский,92.92
16.51,88.65,3,1,Часто,6.07,94.19,4,Да,4,Средний,3,Частная,Отрицательное,Умеренная,Нет,Среднее специальное,0.52,Мужской,100.0
14.83,100.0,3,4,Часто,6.35,83.44,5,Да,1,Средний,1,Обычная,Положительное,Умеренная,Нет,Среднее специальное,0.15,Мужской,100.0
9.16,84.42,2,3,Иногда,5.88,81.4,2,Да,2,Низкий,1,Обычная,Отрицательное,Умеренная,Нет,Среднее,1.53,Мужской,97.93
20.71,87.01,2,5,Нет,5.6,76.98,1,Да,4,Низкий,2,Обычная,Положительное,Низкая,Нет,Высшее,9.28,Женский,100.0
18.76,95.51,3,2,Часто,8.0,58.42,5,Да,2,Низкий,2,Частная,Отрицательное,Умеренная,Нет,Среднее,2.68,Мужской,100.0
18.96,96.06,4,1,Иногда,7.24,69.2,3,Да,0,Средний,4,Обычная,Отрицательное,Умеренная,Нет,Среднее,0.79,Мужской,100.0
10.45,96.87,3,3,Иногда,7.96,85.1,4,Нет,2,Высокий,3,Обычная,Положительное,Умеренная,Нет,Среднее,3.51,Женский,100.0
22.01,91.39,3,3,Редко,8.33,62.39,3,Да,2,Низкий,4,Обычная,Нейтральное,Умеренная,Нет,Среднее специальное,2.93,Женский,100.0
7.99,73.57,3,1,Часто,7.82,44.62,2,Да,0,Средний,5,Частная,Положительное,Умеренная,Нет,Высшее,0.66,Женский,100.0
17.93,100.0,4,4,Иногда,8.29,72.27,4,Да,1,Высокий,5,Обычная,Нейтральное,Умеренная,Нет,Среднее специальное,0.1,Мужской,100.0
25.95,73.54,2,2,Нет,7.42,73.3,4,Да,3,Низкий,5,Обычная,Отрицательное,Низкая,Нет,Среднее специальное,0.25,Женский,98.31
10.05,88.03,4,4,Редко,6.08,76.63,2,Да,0,Средний,3,Обычная,Положительное,Умеренная,Нет,Среднее,4.2,Мужской,100.0
12.17,77.46,2,3,Часто,8.77,83.74,3,Да,1,Высокий,3,Обычная,Нейтральное,Умеренная,Нет,Высшее,3.62,Мужской,100.0
15.5,84.36,3,2,Нет,6.79,82.65,4,Нет,1,Высокий,2,Частная,Положительное,Высокая,Нет,Высшее,0.7,Мужской,100.0
12.48,88.29,1,3,Часто,6.38,78.11,4,Да,2,Низкий,4,Обычная,Нейтральное,Низкая,Нет,Среднее специальное,0.67,Женский,100.0
7.25,88.21,2,5,Иногда,7.29,89.35,1,Да,0,Низкий,4,Обычная,Нейтральное,Умеренная,Нет,Среднее,3.15,Мужской,100.0
15.34,89.22,3,3,Иногда,6.4,56.77,4,Да,0,Низкий,4,Обычная,Нейтральное,Умеренная,Да,Среднее специальное,5.55,Мужской,97.43
9.69,100.0,2,4,Редко,7.0,81.05,4,Да,0,Средний,3,Обычная,Нейтральное,Низкая,Да,Среднее специальное,3.02,Мужской,100.0
17.37,89.54,4,2,Редко,7.91,82.52,4,Да,3,Средний,4,Частная,Нейтральное,Умеренная,Нет,Высшее,1.86,Женский,100.0
10.4,82.56,1,4,Часто,7.92,60.13,4,Да,3,Средний,2,Частная,Нейтральное,Умеренная,Нет,Высшее,0.56,Женский,100.0
22.75,94.64,3,3,Редко,6.42,56.97,2,Да,0,Средний,1,Обычная,Нейтральное,Низкая,Да,Высшее,1.49,Женский,92.36
11.08,96.89,3,4,Иногда,6.91,66.05,4,Да,2,Низкий,4,Частная,Нейтральное,Умеренная,Нет,Среднее,0.53,Мужской,100.0
13.39,72.72,1,4,Редко,8.79,67.06,4,Да,3,Средний,3,Обычная,Нейтральное,Высокая,Нет,Высшее,3.3,Мужской,100.0
19.07,90.97,2,5,Нет,8.1,84.04,1,Да,5,Средний,5,Частная,Отрицательное,Высокая,Нет,Среднее специальное,0.98,Мужской,100.0
8.85,92.01,3,3,Нет,9.99,67.63,3,Да,3,Средний,2,Частная,Нейтральное,Низкая,Нет,Высшее,3.59,Женский,100.0
16.14,82.02,3,2,Иногда,8.92,64.72,3,Да,1,Средний,4,Обычная,Нейтральное,Умеренная,Да,Среднее специальное,0.96,Мужской,95.25
21.54,98.76,3,1,Часто,8.87,67.66,4,Нет,3,Средний,3,Частная,Отрицательное,Умеренная,Нет,Среднее,3.48,Мужской,100.0
6.96,83.5,3,5,Редко,5.83,88.42,2,Да,2,Низкий,4,Обычная,Нейтральное,Умеренная,Нет,Среднее специальное,0.81,Женский,100.0
15.92,86.26,3,4,Редко,8.42,75.16,4,Да,0,Низкий,4,Обычная,Отрицательное,Умеренная,Нет,Среднее,1.16,Мужской,100.0
16.3,83.27,1,4,Редко,7.44,72.85,5,Да,2,Низкий,5,Обычная,Положительное,Умеренная,Да,Среднее,1.91,Мужской,100.0
18.91,85.16,3,3,Иногда,6.84,73.68,4,Да,4,Низкий,3,Обычная,Положительное,Низкая,Нет,Высшее,0.15,Мужской,100.0
8.82,74.04,5,3,Редко,7.7,90.5,5,Да,3,Средний,5,Частная,Отрицательное,Высокая,Нет,Среднее,5.92,Мужской,100.0
8.4,70.6,3,1,Часто,8.63,66.01,5,Да,2,Низкий,2,Обычная,Отрицательное,Высокая,Нет,Среднее,1.7,Женский,100.0
17.61,100.0,3,5,Иногда,8.1,90.79,1,Да,3,Низкий,2,Обычная,Положительное,Умеренная,Нет,Среднее,1.42,Женский,100.0
16.48,76.53,3,4,Иногда,6.45,77.53,4,Да,3,Средний,3,Обычная,Нейтральное,Умеренная,Нет,Среднее специальное,3.66,Мужской,100.0
16.25,75.09,4,5,Нет,8.39,73.07,3,Да,1,Средний,4,Обычная,Положительное,Умеренная,Нет,Высшее,4.02,Мужской,100.0
16.73,63.47,4,3,Часто,6.73,95.0,5,Да,1,Средний,3,Обычная,Положительное,Умеренная,Да,Среднее,1.48,Женский,100.0
11.6,78.61,3,4,Редко,7.76,62.33,3,Да,5,Средний,4,Обычная,Нейтральное,Умеренная,Нет,Среднее,5.24,Женский,100.0
16.16,71.77,5,4,Нет,7.14,70.76,5,Да,2,Средний,4,Обычная,Отрицательное,Высокая,Нет,Высшее,0.13,Мужской,100.0
16.47,100.0,2,3,Иногда,7.24,60.21,4,Да,4,Высокий,3,Частная,Положительное,Низкая,Нет,Высшее,0.24,Женский,100.0
11.43,95.1,1,5,Иногда,8.42,86.43,4,Да,4,Низкий,5,Частная,Положительное,Низкая,Нет,Среднее,1.82,Мужской,100.0
24.33,78.12,4,5,Редко,6.25,95.0,1,Да,2,Средний,2,Обычная,Нейтральное,Умеренная,Нет,Высшее,0.87,Женский,100.0
17.37,100.0,4,5,Редко,9.83,95.0,2,Да,2,Высокий,4,Частная,Нейтральное,Умеренная,Да,Среднее специальное,1.25,Женский,100.0
9.04,94.82,2,4,Иногда,5.31,89.69,4,Да,3,Высокий,3,Частная,Нейтральное,Умеренная,Нет,Высшее,0.8,Женский,100.0
18.28,81.75,2,3,Нет,6.78,72.63,1,Да,4,Низкий,3,Частная,Нейтральное,Умеренная,Нет,Среднее специальное,1.04,Женский,100.0
10.13,60.01,1,3,Часто,7.94,70.62,5,Да,1,Средний,3,Обычная,Положительное,Высокая,Нет,Высшее,3.46,Мужской,100.0
18.94,100.0,2,5,Иногда,8.2,54.95,1,Да,2,Низкий,2,Обычная,Положительное,Умеренная,Нет,Среднее,1.8,Женский,97.99
20.79,71.1,4,1,Редко,7.38,95.0,4,Да,1,Средний,3,Обычная,Нейтральное,Умеренная,Нет,Среднее,10.0,Женский,100.0
10.9,68.55,3,4,Редко,7.43,80.63,3,Да,6,Средний,2,Обычная,Положительное,Низкая,Нет,Среднее,3.09,Женский,100.0
19.82,95.23,3,4,Редко,7.99,69.1,4,Да,2,Средний,3,Обычная,Отрицательное,Умеренная,Нет,Среднее специальное,0.64,Мужской,100.0
17.06,100.0,3,4,Иногда,7.22,90.94,4,Да,2,Средний,2,Обычная,Нейтральное,Умеренная,Нет,Высшее,0.61,Женский,100.0
19.11,98.84,1,5,Иногда,9.17,63.33,3,Да,1,Средний,3,Обычная,Нейтральное,Умеренная,Нет,Среднее специальное,0.82,Женский,100.0
24.48,90.64,2,3,Редко,8.51,79.88,2,Да,4,Средний,4,Обычная,Отрицательное,Низкая,Да,Среднее,3.71,Мужской,100.0
13.77,90.95,3,3,Иногда,8.55,72.93,1,Да,2,Высокий,3,Обычная,Нейтральное,Низкая,Нет,Среднее специальное,0.1,Мужской,100.0
11.23,93.53,5,2,Часто,6.34,82.66,4,Да,3,Средний,4,Обычная,Нейтральное,Умеренная,Нет,Среднее специальное,0.52,Мужской,100.0
10.55,92.59,4,3,Редко,7.4,74.24,4,Да,1,Низкий,4,Обычная,Положительное,Умеренная,Нет,Высшее,4.71,Женский,100.0
10.92,87.81,1,3,Часто,7.14,57.59,4,Да,4,Средний,4,Обычная,Положительное,Умеренная,Да,Среднее специальное,2.04,Женский,100.0
14.61,86.04,4,3,Редко,6.29,75.91,4,Да,4,Низкий,4,Обычная,Нейтральное,Умеренная,Нет,Среднее специальное,0.51,Женский,100.0
16.71,84.37,4,5,Нет,7.93,87.59,3,Да,0,Средний,3,Обычная,Отрицательное,Умеренная,Нет,Высшее,0.49,Мужской,100.0
16.38,77.46,4,5,Редко,6.85,74.65,3,Да,8,Высокий,4,Обычная,Нейтральное,Умеренная,Нет,Высшее,3.97,Женский,100.0
19.14,82.19,3,2,Редко,8.29,84.3,1,Да,3,Высокий,2,Обычная,Положительное,Умеренная,Да,Среднее специальное,4.48,Женский,100.0
15.07,68.07,3,3,Редко,6.22,62.45,3,Да,2,Средний,4,Обычная,Нейтральное,Низкая,Нет,Среднее,0.59,Мужской,93.13
22.27,84.02,3,5,Нет,9.56,74.68,5,Нет,3,Низкий,4,Обычная,Отрицательное,Умеренная,Нет,Высшее,1.09,Мужской,100.0
